track_id,track_name,track_file,route_id,route_name,association_status,confidence,distance_km,ascent_m,author,license_status,review_note
FZ037,晋安 白云洞-涌泉寺-鼓山十八景穿越,./content/tracks/FZ037.kml,FZ037,晋安 白云洞-涌泉寺-鼓山十八景穿越,已作为新增候选路线导入,高,8.16,877,乾步步,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ038,鼓楼 福道7号口往返线,./content/tracks/FZ038.kml,FZ038,鼓楼 福道7号口往返线,已作为新增候选路线导入,高,8.65,380,华哥888999,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ039,长乐 芦际潭森林公园圈越,./content/tracks/FZ039.kml,FZ039,长乐 芦际潭森林公园圈越,已作为新增候选路线导入,高,10.87,628,山痴踏岳。,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ040,晋安 鼓岭古道-映月湖-柱里-柳杉王公园穿越,./content/tracks/FZ040.kml,FZ040,晋安 鼓岭古道-映月湖-柱里-柳杉王公园穿越,已作为新增候选路线导入,高,9.39,1089,新橙,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ041,晋安 鼓山勇敢者登山道-涌泉寺登山线,./content/tracks/FZ041.kml,FZ041,晋安 鼓山勇敢者登山道-涌泉寺登山线,已作为新增候选路线导入,高,5.15,630,乾步步,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ042,闽侯 五虎山圈越,./content/tracks/FZ042.kml,FZ042,闽侯 五虎山圈越,已作为新增候选路线导入,高,13.78,989,冰鳍,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ043,福州 贡院岭古道-鹅鼻岭-泉头古道环线,./content/tracks/FZ043.kml,FZ043,福州 贡院岭古道-鹅鼻岭-泉头古道环线,已作为新增候选路线导入,高,10.89,955,仰望星空3539,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ044,晋安 白云洞-鼓山穿越,./content/tracks/FZ044.kml,FZ044,晋安 白云洞-鼓山穿越,已作为新增候选路线导入,高,10.72,1002,,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ045,马尾 君山小桂林-旺岐楼水库环线,./content/tracks/FZ045.kml,FZ045,马尾 君山小桂林-旺岐楼水库环线,已作为新增候选路线导入,高,7.73,955,仰望星空3539,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ046,闽侯 水项古道小圈越,./content/tracks/FZ046.kml,FZ046,闽侯 水项古道小圈越,已作为新增候选路线导入,高,12.71,1316,郑在爬,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ047,马尾 上德古道圈越,./content/tracks/FZ047.kml,FZ047,马尾 上德古道圈越,已作为新增候选路线导入,高,5.7,469,米苏的户外迹忆,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ048,福清 南少林-南岭古道-猛犸岩圈越,./content/tracks/FZ048.kml,FZ048,福清 南少林-南岭古道-猛犸岩圈越,已作为新增候选路线导入,高,16.82,1092,山痴踏岳。,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ049,罗源 小笔架圈越,./content/tracks/FZ049.kml,FZ049,罗源 小笔架圈越,已作为新增候选路线导入,高,8.98,1230,第九十九步贤,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ050,福清 南岭古道环线,./content/tracks/FZ050.kml,FZ050,福清 南岭古道环线,已作为新增候选路线导入,高,8.31,415,燕与希,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ051,福清 灵石山森林公园环线,./content/tracks/FZ051.kml,FZ051,福清 灵石山森林公园环线,已作为新增候选路线导入,高,11.94,759,zs_5765202,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ052,长乐 风洞山环线,./content/tracks/FZ052.kml,FZ052,长乐 风洞山环线,已作为新增候选路线导入,高,4.87,388,月胖🕊️,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ053,晋安 鼓山情人谷圈越,./content/tracks/FZ053.kml,FZ053,晋安 鼓山情人谷圈越,已作为新增候选路线导入,高,5.85,627,福州山喵户外-老蔡蔡不是老菜菜,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ054,永泰 望仙谷-五奇仙君殿圈越,./content/tracks/FZ054.kml,FZ054,永泰 望仙谷-五奇仙君殿圈越,已作为新增候选路线导入,高,9.6,906,福田83,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ055,福清 龙凤古道圈越,./content/tracks/FZ055.kml,FZ055,福清 龙凤古道圈越,已作为新增候选路线导入,高,11.55,667,中草药,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ056,福州 康坂溪右支-地下河穿越,./content/tracks/FZ056.kml,FZ056,福州 康坂溪右支-地下河穿越,已作为新增候选路线导入,高,10.63,714,第九十九步贤,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ057,福清 龙凤古驿道环线,./content/tracks/FZ057.kml,FZ057,福清 龙凤古驿道环线,已作为新增候选路线导入,高,11.12,704,语过添理,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ058,鼓楼 福道5号口-3号口穿越,./content/tracks/FZ058.kml,FZ058,鼓楼 福道5号口-3号口穿越,已作为新增候选路线导入,高,6.1,429,Belibala,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ059,闽侯 旗山万佛寺-棋盘石-旗山顶环线,./content/tracks/FZ059.kml,FZ059,闽侯 旗山万佛寺-棋盘石-旗山顶环线,已作为新增候选路线导入,高,11.85,1171,zs_0616135,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ060,福清 大姆山草场-旗山-崩山小圈,./content/tracks/FZ060.kml,FZ060,福清 大姆山草场-旗山-崩山小圈,已作为新增候选路线导入,高,9.87,720,牙医の先生,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ061,晋安 状元岭古道-小北岭古道环线,./content/tracks/FZ061.kml,FZ061,晋安 状元岭古道-小北岭古道环线,已作为新增候选路线导入,高,9.12,560,刘家有两千金,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ062,永泰 万石村-天门山圈越,./content/tracks/FZ062.kml,FZ062,永泰 万石村-天门山圈越,已作为新增候选路线导入,高,9.61,1243,酱油橘子,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ063,永泰 东湖尖环线,./content/tracks/FZ063.kml,FZ063,永泰 东湖尖环线,已作为新增候选路线导入,高,7.95,1178,二十五呀,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ064,闽侯 五虎山农家乐-五灵岩寺-回头虎圈越,./content/tracks/FZ064.kml,FZ064,闽侯 五虎山农家乐-五灵岩寺-回头虎圈越,已作为新增候选路线导入,高,10.1,1121,Little may,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ065,闽侯 仁宅登山道-鸾峰寺-旗山顶圈越,./content/tracks/FZ065.kml,FZ065,闽侯 仁宅登山道-鸾峰寺-旗山顶圈越,已作为新增候选路线导入,高,9.3,1106,小条条,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ066,晋安 升山寺-湖顶山-福州国家森林公园环线,./content/tracks/FZ066.kml,FZ066,晋安 升山寺-湖顶山-福州国家森林公园环线,已作为新增候选路线导入,高,10.04,967,小条条,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ067,平潭 大练岛环线,./content/tracks/FZ067.kml,FZ067,平潭 大练岛环线,已作为新增候选路线导入,高,13.98,457,旅行者99,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ068,晋安 樟林古道-柳杉王公园-鼓岭古道环线,./content/tracks/FZ068.kml,FZ068,晋安 樟林古道-柳杉王公园-鼓岭古道环线,已作为新增候选路线导入,高,12.61,1280,小条条,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ069,闽侯 水项古道-旗山森林公园长线,./content/tracks/FZ069.kml,FZ069,闽侯 水项古道-旗山森林公园长线,已作为新增候选路线导入,高,22.48,1874,双杖同行,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ070,永泰 横串古道环线,./content/tracks/FZ070.kml,FZ070,永泰 横串古道环线,已作为新增候选路线导入,高,12.48,1256,湖山超越,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ071,永泰 漈上-横串古村-横串古道小环线,./content/tracks/FZ071.kml,FZ071,永泰 漈上-横串古村-横串古道小环线,已作为新增候选路线导入,高,5.96,343,蓝猫,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ072,福清 猛犸岩-南岭古道圈越,./content/tracks/FZ072.kml,FZ072,福清 猛犸岩-南岭古道圈越,已作为新增候选路线导入,高,17.23,1000,️云在青山,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ073,晋安 白云洞-积翠庵圈越,./content/tracks/FZ073.kml,FZ073,晋安 白云洞-积翠庵圈越,已作为新增候选路线导入,高,5.91,779,冲电宝大壮爱爬山,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ074,晋安 磨溪-绝顶峰-鼓山穿越,./content/tracks/FZ074.kml,FZ074,晋安 磨溪-绝顶峰-鼓山穿越,已作为新增候选路线导入,高,9.87,809,老林努力中,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ075,晋安 白云洞-鼓山穿越线,./content/tracks/FZ075.kml,FZ075,晋安 白云洞-鼓山穿越线,已作为新增候选路线导入,高,10.37,1076,MasonW,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ076,长乐 龙潭晓瀑-六平山穿越,./content/tracks/FZ076.kml,FZ076,长乐 龙潭晓瀑-六平山穿越,已作为新增候选路线导入,高,13.16,753,Nio_CC,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ077,闽侯 五虎山五虎圈越,./content/tracks/FZ077.kml,FZ077,闽侯 五虎山五虎圈越,已作为新增候选路线导入,高,15.6,1636,喜家乐,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ078,福清 大化山圈越,./content/tracks/FZ078.kml,FZ078,福清 大化山圈越,已作为新增候选路线导入,高,11.42,1064,不知果冻,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ079,罗源 凤凰山圈越,./content/tracks/FZ079.kml,FZ079,罗源 凤凰山圈越,已作为新增候选路线导入,高,11.2,715,正好%（福州逆旅户外）,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ080,罗源 仙茅山-飞鸾岭古道环线,./content/tracks/FZ080.kml,FZ080,罗源 仙茅山-飞鸾岭古道环线,已作为新增候选路线导入,高,14.18,1134,龙山线路,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ081,晋安 莲花峰-鳝溪古道圈越,./content/tracks/FZ081.kml,FZ081,晋安 莲花峰-鳝溪古道圈越,已作为新增候选路线导入,高,7.64,1009,💥遇见陌生🎇,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ082,晋安 蛇山古道-恩顶村-竹园岭古道环线,./content/tracks/FZ082.kml,FZ082,晋安 蛇山古道-恩顶村-竹园岭古道环线,已作为新增候选路线导入,高,8.54,804,小条条,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ083,马尾 君山小桂林环线,./content/tracks/FZ083.kml,FZ083,马尾 君山小桂林环线,已作为新增候选路线导入,高,7.25,748,小条条,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ084,晋安 鳝溪古道-樟林古道穿越,./content/tracks/FZ084.kml,FZ084,晋安 鳝溪古道-樟林古道穿越,已作为新增候选路线导入,高,8.94,857,xwlkin,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ085,晋安 鼓岭古道-牛头寨-柱里公园-鼓山穿越,./content/tracks/FZ085.kml,FZ085,晋安 鼓岭古道-牛头寨-柱里公园-鼓山穿越,已作为新增候选路线导入,高,20.9,4289,,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ086,福清 龙凤古道环线,./content/tracks/FZ086.kml,FZ086,福清 龙凤古道环线,已作为新增候选路线导入,高,12.22,867,麦芒_LBL8254007,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ087,连江 王庄村-睡狐狸-老虎厝环线,./content/tracks/FZ087.kml,FZ087,连江 王庄村-睡狐狸-老虎厝环线,已作为新增候选路线导入,高,6.81,239,如意自在,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ088,闽侯 鸿尾举口村-畲家厝-穆源溪瀑布环线,./content/tracks/FZ088.kml,FZ088,闽侯 鸿尾举口村-畲家厝-穆源溪瀑布环线,已作为新增候选路线导入,高,6.84,491,如意自在,待确认,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
