import_route_id,proposed_safe_id,route_name,region,difficulty,route_distance_km,route_ascent_m,track_file,track_file_name,track_name,platform,author,source_track_id,license_status,track_distance_km,track_ascent_m,duration_hours,point_count,start_name,end_name,is_loop,quality_score,match_status,match_confidence,match_method,id_status,review_note
FZ042,FZ044,2025-11-2712_19福州白云洞至鼓山,晋安区,较难,10.72,1002,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-11-2712_19福州白云洞至鼓山.kml,2025-11-2712_19福州白云洞至鼓山.kml,2025-11-2712_19福州白云洞至鼓山,KML,,,待确认,10.72,1002,0.0,979,,,否,95,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ043,FZ045,2025-12-02 马尾君山，阳光学院北门～小桂林～旺岐楼水库～上岐村水库～阳光学院北门！,马尾区,较难,7.73,955,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-12-02马尾君山，阳光学院北门～小桂林～旺岐楼水库～夏岐水库～阳光学院北门！.kml,2025-12-02马尾君山，阳光学院北门～小桂林～旺岐楼水库～夏岐水库～阳光学院北门！.kml,2025-12-02 马尾君山，阳光学院北门～小桂林～旺岐楼水库～上岐村水库～阳光学院北门！,KML,仰望星空3539,61739907,待确认,7.73,955,4.22,1371,阳光学院(北门),杏会奶茶,是,85,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ044,FZ046,2025-12-05 水项古道小圈越,福州周边,较难,12.71,1316,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-12-05水项古道小圈越.kml,2025-12-05水项古道小圈越.kml,2025-12-05 水项古道小圈越,KML,郑在爬,61903114,待确认,12.71,1316,6.06,2243,竹楼山庄,吴厝里,是,95,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ045,FZ047,2025-12-06 13:20福州马尾区,马尾区,中等,5.7,469,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-12-06上德古道圈越.kml,2025-12-06上德古道圈越.kml,2025-12-06 13:20福州马尾区,两步路,米苏的户外迹忆,54288800,待确认,5.7,469,3.84,613,快安派出所,马尾区消防大队快安中队,是,85,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ046,FZ048,2025-12-09 09:43福州福清市,福清市,较难,16.82,1092,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-12-09福清南少林南岭古道-猛犸岩圈越.kml,2025-12-09福清南少林南岭古道-猛犸岩圈越.kml,2025-12-09 09:43福州福清市,两步路,山痴踏岳。,63019757,待确认,16.82,1092,6.27,1712,南少林寺停车场,南少林寺停车场,是,85,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ047,FZ049,2025-12-20 罗源小笔架圈越,罗源县,较难,8.98,1230,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-12-20罗源小笔架圈越.kml,2025-12-20罗源小笔架圈越.kml,2025-12-20 罗源小笔架圈越,两步路,第九十九步贤,44965499,待确认,8.98,1230,8.54,8957,福州市罗源县,观音堂,否,85,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ048,FZ050,2025-12-21 09:21福清南岭古道,福清市,中等,8.31,415,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-12-2109_21福清南岭古道.kml,2025-12-2109_21福清南岭古道.kml,2025-12-21 09:21福清南岭古道,两步路,燕与希,64089057,待确认,8.31,415,3.24,745,南少林寺停车场,南少林寺停车场,是,85,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ049,FZ051,2025-12-27 14:07:12,福州周边,较难,11.94,759,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-12-2714_07_12福清灵石山森林公园.kml,2025-12-2714_07_12福清灵石山森林公园.kml,2025-12-27 14:07:12,KML,zs_5765202,55449867,待确认,11.94,759,3.98,2133,三星警务室,三星警务室,是,95,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ050,FZ052,2025-12-28 长乐风洞山,长乐区,中等,4.87,388,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2025-12-28长乐风洞山.kml,2025-12-28长乐风洞山.kml,2025-12-28 长乐风洞山,KML,月胖🕊️,54980324,待确认,4.87,388,3.66,11498,风洞山隧道,风洞山隧道,是,85,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ051,FZ053,2026-01-03鼓山情人谷圈越,晋安区,中等,5.85,627,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2026-01-03鼓山情人谷圈越.kml,2026-01-03鼓山情人谷圈越.kml,2026-01-03鼓山情人谷圈越,两步路,福州山喵户外-老蔡蔡不是老菜菜,48817450,待确认,5.85,627,3.5,557,鼓山旅游索道,鼓山旅游索道,是,100,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ052,FZ054,2026-01-10 10:12福州闽侯县五奇仙君殿,永泰县,较难,9.6,906,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2026-01-1010_12福州闽侯县五奇仙君殿.kml,2026-01-1010_12福州闽侯县五奇仙君殿.kml,2026-01-10 10:12福州闽侯县五奇仙君殿,两步路,福田83,505817,待确认,9.6,906,6.73,881,望仙谷景区,望仙谷景区,是,85,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ053,FZ055,2026-01-10 12:43福州福清市龙凤古道圈越,福清市,中等,11.55,667,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2026-01-1012_43福州福清市龙凤古道圈越.kml,2026-01-1012_43福州福清市龙凤古道圈越.kml,2026-01-10 12:43福州福清市龙凤古道圈越,两步路,中草药,768539,待确认,11.55,667,6.01,1098,福清市水系联排联调中心梨洞水库管理站,福清市水系联排联调中心梨洞水库管理站,是,100,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ054,FZ056,2026-01-17 康坂溪右支(康右)+地下河,福州周边,较难,10.63,714,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2026-01-17康坂溪右支(康右)+地下河.kml,2026-01-17康坂溪右支(康右)+地下河.kml,2026-01-17 康坂溪右支(康右)+地下河,两步路,第九十九步贤,44965499,待确认,10.63,714,6.49,9849,康坂村(公交站),前洋村(公交站),否,80,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ055,FZ057,2026-02-02 11:24龙凤古驿道,福州周边,较难,11.12,704,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2026-02-0211_24龙凤古驿道.kml,2026-02-0211_24龙凤古驿道.kml,2026-02-02 11:24龙凤古驿道,两步路,语过添理,11274163,待确认,11.12,704,4.17,1055,福清市水系联排联调中心梨洞水库管理站,福清市水系联排联调中心梨洞水库管理站,是,95,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ056,FZ058,2026-02-24 09:47:32,福州周边,中等,6.1,429,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2026-02-24福州福道.kml,2026-02-24福州福道.kml,2026-02-24 09:47:32,KML,Belibala,28158408,待确认,6.1,429,2.5,1085,福道(5号入口),福道(3号入口),否,95,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ057,FZ059,2026-03-14 旗山万佛寺-棋盘石-旗山顶-风车嘴山-旗山万佛寺,闽侯县,较难,11.85,1171,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2026-03-14旗山万佛寺-棋盘石-旗山顶-风车嘴山-旗山万佛寺.kml,2026-03-14旗山万佛寺-棋盘石-旗山顶-风车嘴山-旗山万佛寺.kml,2026-03-14 旗山万佛寺-棋盘石-旗山顶-风车嘴山-旗山万佛寺,两步路,zs_0616135,32487668,待确认,11.85,1171,5.09,2100,旗山万佛寺山门左侧,旗山万佛寺山门左侧,是,85,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ058,FZ060,2026-05-07 10:14福州福清市,福清市,较难,9.87,720,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/2026-05-07福清大姆山草场-旗山-崩山小圈.kml,2026-05-07福清大姆山草场-旗山-崩山小圈.kml,2026-05-07 10:14福州福清市,两步路,牙医の先生,38591585,待确认,9.87,720,7.01,941,单斜埔,单斜埔,是,100,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ059,FZ061,9.7状元岭古道-小北岭古道,晋安区,中等,9.12,560,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/9.7状元岭古道-小北岭古道.kml,9.7状元岭古道-小北岭古道.kml,9.7状元岭古道-小北岭古道,两步路,刘家有两千金,55470877,待确认,9.12,560,3.01,10177,福建省直广厦幼儿园福峰分园,岭下堂,是,95,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ060,FZ062,2026-01-02 09:27:33,福州周边,较难,9.61,1243,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/万石村-永泰天门山圈越.kml,万石村-永泰天门山圈越.kml,2026-01-02 09:27:33,KML,酱油橘子,45580905,待确认,9.61,1243,5.17,1728,,,是,75,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ061,FZ063,东湖尖,永泰县,较难,7.95,1178,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/东湖尖.kml,东湖尖.kml,东湖尖,KML,二十五呀,62640209,待确认,7.95,1178,7.2,1451,里洋村,里洋村,是,85,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ062,FZ064,2024-11-30 10:36:50,福州周边,较难,10.1,1121,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/五虎山农家乐-五灵岩寺-回头虎-岐尾虎圈越.kml,五虎山农家乐-五灵岩寺-回头虎-岐尾虎圈越.kml,2024-11-30 10:36:50,KML,Little may,56462905,待确认,10.1,1121,7.29,950,,,是,90,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ063,FZ065,仁宅登山道-鸾峰寺-旗山顶圈越,闽侯县,较难,9.3,1106,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/仁宅登山道-鸾峰寺-旗山顶圈越.kml,仁宅登山道-鸾峰寺-旗山顶圈越.kml,仁宅登山道-鸾峰寺-旗山顶圈越,KML,小条条,63343159,待确认,9.3,1106,4.08,868,福建福广电器,福建福广电器,是,85,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ064,FZ066,升山寺-湖顶山-福州国家森林公园,福州周边,较难,10.04,967,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/升山寺-湖顶山-福州国家森林公园.kml,升山寺-湖顶山-福州国家森林公园.kml,升山寺-湖顶山-福州国家森林公园,KML,小条条,63343159,待确认,10.04,967,4.59,898,顺顺年检站,顺顺年检站,是,95,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ065,FZ067,平潭大练岛,平潭县,中等,13.98,457,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/平潭大练岛.kml,平潭大练岛.kml,平潭大练岛,两步路,旅行者99,48300897,待确认,13.98,457,3.87,2443,月举湾通天门停车点,月举湾通天门停车点,是,100,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ066,FZ068,樟林古道-柳杉王公园-鼓岭古道,晋安区,较难,12.61,1280,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/樟林古道-柳杉王公园-鼓岭古道.kml,樟林古道-柳杉王公园-鼓岭古道.kml,樟林古道-柳杉王公园-鼓岭古道,KML,小条条,63343159,待确认,12.61,1280,4.4,2189,福州樟林吴氏宗祠,福州樟林吴氏宗祠,是,85,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ067,FZ069,水项古道→旗山森林公园,闽侯县,较难,22.48,1874,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/水项古道→旗山森林公园.kml,水项古道→旗山森林公园.kml,水项古道→旗山森林公园,两步路,双杖同行,59214608,待确认,22.48,1874,7.65,2064,竹楼山庄,竹楼山庄,是,85,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ068,FZ070,永泰横串古道2025-11-29,永泰县,较难,12.48,1256,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/永泰横串古道2025-11-29.kml,永泰横串古道2025-11-29.kml,永泰横串古道2025-11-29,KML,湖山超越,50318622,待确认,12.48,1256,6.39,2238,方广岩中桥右桥,方广岩中桥右桥,是,100,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ069,FZ071,漈上-横串古村-横串古道-漈上（6km）圈樾,福州周边,轻松,5.96,343,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/漈上-横串古村-横串古道-漈上（6km）圈樾.kml,漈上-横串古村-横串古道-漈上（6km）圈樾.kml,漈上-横串古村-横串古道-漈上（6km）圈樾,两步路,蓝猫,64018617,待确认,5.96,343,3.62,688,漈上,漈上,是,80,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ070,FZ072,猛犸岩+南岭古道（圈越）,福州周边,较难,17.23,1000,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/猛犸岩+南岭古道（圈越）.kml,猛犸岩+南岭古道（圈越）.kml,猛犸岩+南岭古道（圈越）,两步路,️云在青山,47586842,待确认,17.23,1000,9.23,14283,南少林寺停车场,南少林寺停车场,是,80,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ071,FZ073,白云洞积翠庵圈越,福州周边,较难,5.91,779,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/白云洞积翠庵圈越.kml,白云洞积翠庵圈越.kml,白云洞积翠庵圈越,两步路,冲电宝大壮爱爬山,61234587,待确认,5.91,779,4.0,579,埠兴新苑,埠兴新苑,是,95,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ072,FZ074,磨溪→绝顶峰→鼓山,晋安区,较难,9.87,809,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/磨溪→绝顶峰→鼓山.kml,磨溪→绝顶峰→鼓山.kml,磨溪→绝顶峰→鼓山,两步路,老林努力中,62737141,待确认,9.87,809,4.62,918,鑫启顺二手车交易市场,鼓山旅游景区缆车,否,100,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ073,FZ075,2023-05-27 16:28:29,福州周边,较难,10.37,1076,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/福州白云洞鼓山路线.kml,福州白云洞鼓山路线.kml,2023-05-27 16:28:29,KML,MasonW,50204297,待确认,10.37,1076,4.86,923,闪星幼儿园,鼓山旅游索道,否,95,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ074,FZ076,福州长乐龙潭晓瀑六平山2025-12-27 10:11:33,长乐区,较难,13.16,753,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/福州长乐龙潭晓瀑六平山2025-12-2710_11_33.kml,福州长乐龙潭晓瀑六平山2025-12-2710_11_33.kml,福州长乐龙潭晓瀑六平山2025-12-27 10:11:33,两步路,Nio_CC,50195619,待确认,13.16,753,6.3,16443,鹤上镇远教文化广场,闽投充电站(长乐鹤上中学站),否,85,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ075,FZ077,福州闽候五虎山五虎圈越,闽侯县,较难,15.6,1636,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/福州闽候五虎山五虎圈越.kml,福州闽候五虎山五虎圈越.kml,福州闽候五虎山五虎圈越,KML,喜家乐,40962900,待确认,15.6,1636,7.0,1468,五虎山农家乐,五虎山农家乐,是,85,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ076,FZ078,福清大化山圈越,福清市,较难,11.42,1064,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/福清大化山圈越.kml,福清大化山圈越.kml,福清大化山圈越,KML,不知果冻,61087367,待确认,11.42,1064,6.97,5766,福清镜洋天竺寺,福清镜洋天竺寺,是,100,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ077,FZ079,罗源凤凰山圈越,罗源县,较难,11.2,715,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/罗源凤凰山圈越.kml,罗源凤凰山圈越.kml,罗源凤凰山圈越,两步路,正好%（福州逆旅户外）,50458538,待确认,11.2,715,7.37,1057,炊云寺,炊云寺,是,100,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
FZ078,FZ080,罗源县仙茅山～飞鸾岭古道,罗源县,较难,14.18,1134,/Users/firephoenix/Documents/Codex/2026-06-17/100/outputs/shanji-import/raw/罗源县仙茅山～飞鸾岭古道.kml,罗源县仙茅山～飞鸾岭古道.kml,罗源县仙茅山～飞鸾岭古道,两步路,龙山线路,35052335,待确认,14.18,1134,6.77,1471,福州市罗源县,福州市罗源县,是,85,已匹配,高,名称精确匹配,原始ID未占用；建议整批顺延以保持新增批次连续,可导入；正式发布前仍需确认授权、起终点、交通、开放状态和实地路况。
